category,title,source_html,screencap_png,source_html_bytes,png_bytes
Nugget / Embedded,65C02 Nugget CPU Trainer — v7 VIA Experiment Board,65c02_nugget_simulator_v7.html,65c02_nugget_simulator_v7.png,87736,630296
Nugget / Embedded,Arduino A0 Potentiometer Bit-Transmission Simulator,arduino_a0_bitshow_simulator.html,arduino_a0_bitshow_simulator.png,81032,266275
Nugget / Embedded,Arduino POT A/D Serial Bit Show — One-File Simulator,arduino_pot_adc_bit_show_simulator.html,arduino_pot_adc_bit_show_simulator.png,40825,339338
Other,PlateLab C3 Communications & Training Console,COMM_TEST_CONSOLE.html,COMM_TEST_CONSOLE.png,12351,167870
CORE12,Core 12 RC Control Laboratory,Core12_RC_Dashboard.html,Core12_RC_Dashboard.png,37102,212756
Robot / Motion / LiDAR,CuteBot Patient LiDAR BLE UART Dashboard,cutebot_patient_lidar_ble_dashboard.html,cutebot_patient_lidar_ble_dashboard.png,20625,390060
Robot / Motion / LiDAR,CuteBot Patient LiDAR BLE UART Dashboard — Tabbed,cutebot_patient_lidar_ble_dashboard_tabs.html,cutebot_patient_lidar_ble_dashboard_tabs.png,26462,487493
Other,Catch the Clock — Dark One-Bit Memory Simulator,dark_catch_the_clock_dashboard.html,dark_catch_the_clock_dashboard.png,33674,282408
Other,Catch the Clock — Dark One-Bit Memory Simulator,dark_catch_the_clock_dashboard_button_green_fixed.html,dark_catch_the_clock_dashboard_button_green_fixed.png,64831,263407
Other,Catch the Clock — Dark One-Bit Memory Simulator,dark_catch_the_clock_dashboard_button_really_green.html,dark_catch_the_clock_dashboard_button_really_green.png,65805,264858
Other,Catch the Clock — Dark One-Bit Memory Simulator,dark_catch_the_clock_dashboard_combined_logic.html,dark_catch_the_clock_dashboard_combined_logic.png,65002,276196
Other,Catch the Clock — Dark One-Bit Memory Simulator,dark_catch_the_clock_dashboard_compact_terminal.html,dark_catch_the_clock_dashboard_compact_terminal.png,60095,239926
Other,Catch the Clock — Dark One-Bit Memory Simulator,dark_catch_the_clock_dashboard_no_output_qclear.html,dark_catch_the_clock_dashboard_no_output_qclear.png,64452,238912
Other,Catch the Clock — Dark One-Bit Memory Simulator,dark_catch_the_clock_dashboard_pic_supervisor.html,dark_catch_the_clock_dashboard_pic_supervisor.png,52244,247652
Other,Catch the Clock — Dark One-Bit Memory Simulator,dark_catch_the_clock_dashboard_slowclocks.html,dark_catch_the_clock_dashboard_slowclocks.png,36916,250322
Other,Catch the Clock — Dark One-Bit Memory Simulator,dark_catch_the_clock_dashboard_stateaware_schematic.html,dark_catch_the_clock_dashboard_stateaware_schematic.png,61895,239335
Pico / Frequency Meter,Pico W BLE Frequency Meter Console,dashboard.html,dashboard.png,27731,370025
Pico / Frequency Meter,Pico W BLE Frequency Meter Console,dashboard_compatible_debug_v1_1_1.html,dashboard_compatible_debug_v1_1_1.png,39421,380008
DropperGuard,Dropper Guard S3 BLE Master Dashboard,dropper_guard_s3_ble_dashboard.html,dropper_guard_s3_ble_dashboard.png,25699,261638
DropperGuard,Dropper Guard S3 Master Dashboard,dropper_guard_s3_dashboard.html,dropper_guard_s3_dashboard.png,25452,214565
DropperGuard,DropperGuard BLE Test Console r10 AGC Heritage · micro:bit V2 Jig,DropperGuard_BLE_Test_Console_r10_OrientationMapper.html,DropperGuard_BLE_Test_Console_r10_OrientationMapper.png,115667,308293
DropperGuard,DropperGuard BLE Test Console r11 AGC Heritage · micro:bit V2 Jig,DropperGuard_BLE_Test_Console_r11_Setup_Calibration.html,DropperGuard_BLE_Test_Console_r11_Setup_Calibration.png,128579,314797
DropperGuard,DropperGuard BLE Test Console r9 AGC Heritage · micro:bit V2 Jig,DropperGuard_BLE_Test_Console_r9_Operator_3D.html,DropperGuard_BLE_Test_Console_r9_Operator_3D.png,111304,304873
DropperGuard,DropperGuard BLE Test Console · micro:bit V2 Jig,DropperGuard_BLE_Test_Console_v1.html,DropperGuard_BLE_Test_Console_v1.png,51063,306991
DropperGuard,DropperGuard BLE Test Console v3 Demo · micro:bit V2 Jig,DropperGuard_BLE_Test_Console_v3_Full_Demo.html,DropperGuard_BLE_Test_Console_v3_Full_Demo.png,84509,315440
DropperGuard,DropperGuard BLE Test Console v4 AGC Heritage · micro:bit V2 Jig,DropperGuard_BLE_Test_Console_v4_AGC_Heritage.html,DropperGuard_BLE_Test_Console_v4_AGC_Heritage.png,99906,305462
DropperGuard,DropperGuard BLE Test Console v7.1 AGC Heritage · micro:bit V2 Jig,DropperGuard_BLE_Test_Console_v7_1_TipDown.html,DropperGuard_BLE_Test_Console_v7_1_TipDown.png,109841,305486
DropperGuard,DropperGuard BLE Test Console v8 AGC Heritage · micro:bit V2 Jig,DropperGuard_BLE_Test_Console_v8_AxisMap3D.html,DropperGuard_BLE_Test_Console_v8_AxisMap3D.png,111561,306876
Scale / Mass,PicoScale v0.3.0 BLE Dashboard,escale_ble_interface(15).html,escale_ble_interface_15_.png,24915,402730
SQM / EyeDrop,UMA · EyeDrop SQM+ Dashboard,EyeDrop_SQM_Plus_Dashboard_v1.html,EyeDrop_SQM_Plus_Dashboard_v1.png,46691,497201
SQM / EyeDrop,UMA EyeDrop SQM+ · Statistical Dashboard v2,EyeDrop_SQM_Plus_Dashboard_v2_Statistical.html,EyeDrop_SQM_Plus_Dashboard_v2_Statistical.png,78635,555840
SQM / EyeDrop,UMA · EyeDrop SQM+ Dashboard v2,EyeDrop_SQM_Plus_Dashboard_v2_Statistical_Core.html,EyeDrop_SQM_Plus_Dashboard_v2_Statistical_Core.png,72561,593698
Fair Fitness / Walking,Fair Fitness Tester FFT+ R2,fair_fitness_console.html,fair_fitness_console.png,72784,343136
Fair Fitness / Walking,Fair Fitness Tester FFT+ R2,fair_fitness_console_R2.0.2-D1.html,fair_fitness_console_R2.0.2-D1.png,55486,291451
Thermal / Energy,Microwave Power Simulator — Fit Window,javascript_microwave_power_simulator_one_window_v2.html,javascript_microwave_power_simulator_one_window_v2.png,22998,638475
Robot / Motion / LiDAR,Lazy LiDAR Dashboard Exhibit v0.4-review,lazy_lidar_dashboard_exhibit_latest.html,lazy_lidar_dashboard_exhibit_latest.png,68908,204316
Robot / Motion / LiDAR,Lazy LiDAR Virtual Robot Lab,lazy_lidar_virtual_robot_lab_scroll_safe.html,lazy_lidar_virtual_robot_lab_scroll_safe.png,68616,200233
Other,micro:bit V2 Zephyr BLE IMU Viewer v6,microbit_ble_accel_viewer_v6.html,microbit_ble_accel_viewer_v6.png,5867,70802
Fair Fitness / Walking,micro:bit v2 Fair Fitness BLE Dashboard,microbit_v2_fair_fitness_ble_dashboard_R4f_display.html,microbit_v2_fair_fitness_ble_dashboard_R4f_display.png,32891,357766
Fair Fitness / Walking,micro:bit v2 Fair Fitness BLE Dashboard R4g Sync,microbit_v2_fair_fitness_ble_dashboard_R4g_sync.html,microbit_v2_fair_fitness_ble_dashboard_R4g_sync.png,35050,360879
